"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
8.00043176420725e-21,0.57527055871245,0.508,0.343,1.4406377477808e-16,"JPH4","0"
8.24297515525894e-21,0.438672713229075,0.744,0.573,1.48431253620748e-16,"GOT1","0"
9.16212063801009e-21,0.566936085604854,0.515,0.344,1.64982306328648e-16,"ITPR1","0"
9.51010994890203e-21,0.25288748839062,0.981,0.955,1.71248549849879e-16,"MT-ND4L","0"
9.93067524256559e-21,0.792609256023184,0.343,0.198,1.78821669092879e-16,"RNF145","0"
1.15040177658682e-20,0.545724803878747,0.575,0.411,2.07152847909988e-16,"DIRAS1","0"
1.20220079433908e-20,0.77201662777225,0.366,0.219,2.16480297036637e-16,"TRIO","0"
2.01177652494931e-20,0.46159443092393,0.661,0.478,3.62260598847623e-16,"LINGO1","0"
2.23788687138821e-20,0.950288971928083,0.266,0.139,4.02976288930874e-16,"TOMM34","0"
2.82116401473265e-20,0.710054435467427,0.381,0.232,5.08007004132909e-16,"LYSMD2","0"
2.97841570527058e-20,0.688615599252674,0.368,0.219,5.36323316048073e-16,"SYT16","0"
4.07748987520187e-20,0.795109330474415,0.355,0.213,7.342336018276e-16,"ARHGAP32","0"
4.61528882942219e-20,0.620289610507004,0.481,0.322,8.31075059514053e-16,"KCNA2","0"
4.75116105925379e-20,0.668830341054539,0.422,0.268,8.55541571939831e-16,"ROCK2","0"
5.12865319737511e-20,1.01633189442907,0.255,0.133,9.23516581251336e-16,"SLITRK4","0"
5.60443655711597e-20,0.684584117862321,0.409,0.255,1.00919089083987e-15,"CELF5","0"
7.38748814665711e-20,0.589300175921946,0.469,0.308,1.33026499056855e-15,"AAK1","0"
8.37573535741813e-20,0.543029592612865,0.589,0.431,1.50821866581028e-15,"PPFIA2","0"
8.44587000479324e-20,0.773282403536977,0.306,0.169,1.52084781176312e-15,"RELL2","0"
8.83599024074783e-20,0.595943659805105,0.444,0.284,1.59109676265146e-15,"ZNF365","0"
9.49669750242241e-20,0.270967788220432,0.956,0.886,1.7100703192612e-15,"SNCB","0"
1.3095274585653e-19,0.749296551272167,0.357,0.215,2.35806609463854e-15,"KCNB1","0"
1.47487615292879e-19,0.722056791925259,0.35,0.208,2.65580948857888e-15,"SESN3","0"
1.51460984214395e-19,0.462230476121695,0.617,0.438,2.7273579427486e-15,"FAM131A","0"
1.5544965157836e-19,0.736426096993328,0.362,0.221,2.79918187597154e-15,"BTBD10","0"
